Tanggal,Pintu Masuk,Jumlah Kunjungan
2018-01-01,A. Pintu Udara,643177.0
2018-01-01,Soekarno-Hatta,210494.0
2018-01-01,Juanda,21532.0
2018-01-01,Kualanamu,15656.0
2018-01-01,Husein Sastranegara,11463.0
2018-01-01,Adi Sucipto,10849.0
2018-01-01,Sam Ratulangi,8507.0
2018-01-01,B. Pintu Laut,220044.0
2018-01-01,Ngurah Rai,345191.0
2018-01-01,Sultan Iskandar Muda,2802.0
2018-01-01,Ahmad Yani,1680.0
2018-01-01,Supadio,1284.0
2018-01-01,Hasanuddin,832.0
2018-01-01,Sultan Badaruddin II,727.0
2018-01-01,Minangkabau,3253.0
2018-01-01,Sultan Syarif Kasim II,2129.0
2018-01-01,Pintu Udara Lainnya,792.0
2018-01-01,Bandara Int. Lombok,5986.0
2018-01-01,Batam,115590.0
2018-01-01,C. Pintu Darat,234618.0
2018-01-01,Tanjung Balai Karimun,5689.0
2018-01-01,Tanjung Benoa,4626.0
2018-01-01,Tanjung Mas,2020.0
2018-01-01,Pintu Laut Lainnya,56373.0
2018-01-01,Jayapura,12616.0
2018-01-01,Tanjung Uban,26993.0
2018-01-01,Atambua,4601.0
2018-01-01,Tanjung Pinang,8753.0
2018-01-01,Nanga Badau,662.0
2018-01-01,Pintu Darat Lainnya,214828.0
2018-01-01,Jumlah (A+B+C),1097839.0
2018-01-01,Lainnya,
2018-01-01,Total,1097839.0
2018-01-01,Entikong,1534.0
2018-01-01,Aruk,377.0
2018-02-01,Pintu Udara Lainnya,697.0
2018-02-01,B. Pintu Laut,261044.0
2018-02-01,Ngurah Rai,443805.0
2018-02-01,Soekarno-Hatta,201981.0
2018-02-01,Juanda,19621.0
2018-02-01,Kualanamu,17740.0
2018-02-01,Husein Sastranegara,12212.0
2018-02-01,Bandara Int. Lombok,5800.0
2018-02-01,Sultan Iskandar Muda,2915.0
2018-02-01,Minangkabau,4459.0
2018-02-01,Sultan Syarif Kasim II,1942.0
2018-02-01,Ahmad Yani,1724.0
2018-02-01,Supadio,2356.0
2018-02-01,Hasanuddin,1004.0
2018-02-01,Sultan Badaruddin II,788.0
2018-02-01,A. Pintu Udara,740440.0
2018-02-01,Sam Ratulangi,10794.0
2018-02-01,Adi Sucipto,12602.0
2018-02-01,Atambua,3799.0
2018-02-01,Tanjung Pinang,10704.0
2018-02-01,Tanjung Balai Karimun,7832.0
2018-02-01,Tanjung Benoa,8616.0
2018-02-01,Tanjung Mas,3191.0
2018-02-01,Pintu Laut Lainnya,43272.0
2018-02-01,C. Pintu Darat,196019.0
2018-02-01,Jayapura,11696.0
2018-02-01,Tanjung Uban,31758.0
2018-02-01,Batam,155671.0
2018-02-01,Entikong,2100.0
2018-02-01,Aruk,928.0
2018-02-01,Pintu Darat Lainnya,176802.0
2018-02-01,Jumlah (A+B+C),1197503.0
2018-02-01,Lainnya,
2018-02-01,Total,1197503.0
2018-02-01,Nanga Badau,694.0
2018-03-01,Ngurah Rai,484846.0
2018-03-01,Soekarno-Hatta,244467.0
2018-03-01,Juanda,26391.0
2018-03-01,Kualanamu,21693.0
2018-03-01,Husein Sastranegara,15657.0
2018-03-01,Adi Sucipto,14055.0
2018-03-01,Bandara Int. Lombok,9880.0
2018-03-01,Sam Ratulangi,10114.0
2018-03-01,Pintu Udara Lainnya,1013.0
2018-03-01,Minangkabau,5057.0
2018-03-01,Sultan Iskandar Muda,3402.0
2018-03-01,Ahmad Yani,2020.0
2018-03-01,Supadio,2416.0
2018-03-01,Hasanuddin,1099.0
2018-03-01,Sultan Badaruddin II,1015.0
2018-03-01,A. Pintu Udara,845635.0
2018-03-01,Sultan Syarif Kasim II,2510.0
2018-03-01,C. Pintu Darat,212932.0
2018-03-01,Atambua,5250.0
2018-03-01,B. Pintu Laut,304859.0
2018-03-01,Tanjung Uban,37364.0
2018-03-01,Tanjung Pinang,13261.0
2018-03-01,Tanjung Balai Karimun,8337.0
2018-03-01,Tanjung Benoa,4254.0
2018-03-01,Pintu Laut Lainnya,59461.0
2018-03-01,Jayapura,10331.0
2018-03-01,Tanjung Mas,6988.0
2018-03-01,Entikong,2376.0
2018-03-01,Aruk,766.0
2018-03-01,Batam,175194.0
2018-03-01,Pintu Darat Lainnya,193548.0
2018-03-01,Jumlah (A+B+C),1363426.0
2018-03-01,Lainnya,
2018-03-01,Total,1363426.0
2018-03-01,Nanga Badau,661.0
2018-04-01,Husein Sastranegara,14163.0
2018-04-01,A. Pintu Udara,848734.0
2018-04-01,Ngurah Rai,516143.0
2018-04-01,Soekarno-Hatta,224978.0
2018-04-01,Juanda,26306.0
2018-04-01,Kualanamu,18538.0
2018-04-01,Pintu Udara Lainnya,976.0
2018-04-01,Sultan Badaruddin II,861.0
2018-04-01,Minangkabau,4293.0
2018-04-01,Sultan Syarif Kasim II,2044.0
2018-04-01,Sultan Iskandar Muda,2941.0
2018-04-01,Ahmad Yani,2232.0
2018-04-01,Supadio,1902.0
2018-04-01,Hasanuddin,1077.0
2018-04-01,Bandara Int. Lombok,10644.0
2018-04-01,Sam Ratulangi,10201.0
2018-04-01,Total,1302321.0
2018-04-01,Adi Sucipto,11435.0
2018-04-01,Jayapura,10641.0
2018-04-01,Tanjung Uban,32237.0
2018-04-01,Tanjung Pinang,10449.0
2018-04-01,Tanjung Balai Karimun,7328.0
